1;GRUPO;2026-06-11;16:00;Estádio Azteca;Wilton Sampaio;A;México;África do Sul;FASE_DE_GRUPOS;FINALIZADA
2;GRUPO;2026-06-11;01:00;Estádio Akron;Francois Letexier;A;Coreia do Sul;Tchéquia;FASE_DE_GRUPOS;FINALIZADA
3;GRUPO;2026-06-12;16:00;BMO Field;Istvan Kovacs;B;Canadá;Bósnia e Herzegovina;FASE_DE_GRUPOS;AGENDADA;
4;GRUPO;2026-06-12;22:00;SoFi Stadium;Szymon Marciniak;D;Estados Unidos;Paraguai;FASE_DE_GRUPOS;AGENDADA;
5;GRUPO;2026-06-13;19:00;Levi's Stadium;Jesus Valenzuela;B;Catar;Suíça;FASE_DE_GRUPOS;AGENDADA;
6;GRUPO;2026-06-13;19:00;MetLife Stadium;Clement Turpin;C;Brasil;Marrocos;FASE_DE_GRUPOS;AGENDADA;
7;GRUPO;2026-06-13;22:00;Gillette Stadium;Danny Makkelie;C;Haiti;Escócia;FASE_DE_GRUPOS;AGENDADA;
8;GRUPO;2026-06-14;04:00;BC Place;Alireza Faghani;D;Austrália;Turquia;FASE_DE_GRUPOS;AGENDADA;
9;GRUPO;2026-06-14;15:00;NRG Stadium;Yael Falcon Perez;E;Alemanha;Curaçao;FASE_DE_GRUPOS;AGENDADA;
10;GRUPO;2026-06-14;20:00;Lincoln Financial Field;Raphael Claus;E;Costa do Marfim;Equador;FASE_DE_GRUPOS;AGENDADA;
11;GRUPO;2026-06-14;18:00;AT&T Stadium;Michael Oliver;F;Holanda;Japão;FASE_DE_GRUPOS;AGENDADA;
12;GRUPO;2026-06-15;00:00;Estádio BBVA;Anthony Taylor;F;Suécia;Tunísia;FASE_DE_GRUPOS;AGENDADA;
13;GRUPO;2026-06-15;13:00;Mercedes-Benz Stadium;Felix Zwayer;H;Espanha;Cabo Verde;FASE_DE_GRUPOS;AGENDADA;
14;GRUPO;2026-06-15;19:00;Hard Rock Stadium;Wilton Sampaio;H;Arábia Saudita;Uruguai;FASE_DE_GRUPOS;AGENDADA;
15;GRUPO;2026-06-15;19:00;Lumen Field;Espen Eskas;G;Bélgica;Egito;FASE_DE_GRUPOS;AGENDADA;
